game_id,date,season_phase,team,opponent,player,position,min,fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,plus_minus
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Alanna Smith,F,19,1-2,1-1,2-2,0,4,4,5,1,0,5,2,5,+10
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Maddy Siegrist,F,29,7-13,2-5,2-2,2,9,11,0,1,1,1,4,18,+12
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Odyssey Sims,G,15,4-4,0-0,1-2,1,2,3,4,1,0,0,3,9,+18
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Paige Bueckers,G,20,8-12,4-6,0-0,0,2,2,3,1,0,3,2,20,+15
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Azzi Fudd,G,16,2-7,0-2,0-0,0,0,0,1,0,0,0,3,4,-3
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Alysha Clark,F,7,0-0,0-0,0-0,1,2,3,1,2,0,2,2,0,+5
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Amy Okonkwo,F,10,0-2,0-1,0-0,1,1,2,0,1,0,2,0,0,-6
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Dulcy Fankam Mendjiadeu,F,12,4-7,0-0,0-0,1,2,3,1,0,0,1,5,8,+6
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Li Yueru,C,12,3-5,0-1,2-3,5,3,8,2,0,0,3,3,8,-2
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Lindsay Allen,G,14,1-2,0-0,1-1,0,0,0,2,0,0,1,3,3,-5
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Grace Berger,G,14,1-3,1-2,0-0,0,2,2,3,0,0,0,0,3,+6
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Dallas Wings,Indiana Fever,Aziaha James,G,31,5-13,0-5,7-7,1,6,7,3,4,0,4,5,17,+19
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Indiana Fever,Dallas Wings,Myisha Hines-Allen,F,17,2-3,0-1,3-4,2,5,7,1,0,0,2,2,7,-8
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Indiana Fever,Dallas Wings,Monique Billings,F,22,1-5,0-1,0-0,1,2,3,0,1,0,3,5,2,-11
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Indiana Fever,Dallas Wings,Kelsey Mitchell,G,17,4-12,0-4,2-2,0,0,0,0,0,0,1,2,10,-18
20260430_DAL_IND,"Thursday, April 30, 2026",preseason,Indiana Fever,Dallas Wings,Sophie Cunningham,G,14,0-0,0-0,1-3,0,1,1,0,0,0,0,1,1,-16
